Stationscode;Datum;Uhrzeit;Feinstaub;Ozon;Stickstoffdioxid;Luftqualitätsindex;Temperatur-mean;Temperatur-min;Temperatur-max;Niederschlag;Schneefall;Windrichtung;Windgeschwindigkeit;Spitzenwindboe;Luftdruck;Sonnenminuten
DENW053;02.11.2020;24:00;10.0;26.0;15.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;01:00;10.0;26.0;13.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;02:00;10.0;25.0;11.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;03:00;10.0;27.0;9.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;04:00;9.0;32.0;5.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;05:00;9.0;33.0;5.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;06:00;8.0;27.0;11.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;07:00;8.0;21.0;18.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;08:00;8.0;28.0;15.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;09:00;8.0;42.0;8.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;10:00;8.0;48.0;4.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;11:00;7.0;46.0;6.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;12:00;8.0;40.0;8.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;13:00;8.0;41.0;7.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;14:00;8.0;37.0;8.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;15:00;7.0;39.0;7.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;16:00;7.0;39.0;7.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;17:00;8.0;36.0;10.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;18:00;8.0;39.0;12.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;19:00;8.0;47.0;10.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;20:00;8.0;64.0;9.0;gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;21:00;8.0;61.0;7.0;gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;22:00;8.0;59.0;9.0;sehr gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;02.11.2020;23:00;8.0;62.0;8.0;gut;17.7;11.7;21.2;5.1;0;223.1;37.7;72.0;1010.3;80
DENW053;03.11.2020;24:00;9.0;;;sehr gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;01:00;10.0;70.0;4.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;02:00;10.0;70.0;4.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;03:00;11.0;64.0;8.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;04:00;12.0;64.0;6.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;05:00;13.0;62.0;7.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;06:00;13.0;53.0;13.0;sehr gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;07:00;14.0;41.0;24.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;08:00;15.0;15.0;53.0;mäßig;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;09:00;15.0;13.0;51.0;mäßig;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;10:00;16.0;39.0;25.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;11:00;16.0;57.0;10.0;sehr gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;12:00;17.0;57.0;10.0;sehr gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;13:00;17.0;62.0;8.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;14:00;18.0;66.0;8.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;15:00;18.0;66.0;9.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;16:00;18.0;63.0;14.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;17:00;18.0;67.0;10.0;gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;18:00;18.0;58.0;13.0;sehr gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;19:00;18.0;49.0;17.0;sehr gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;20:00;19.0;44.0;18.0;sehr gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;21:00;19.0;46.0;17.0;sehr gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;22:00;18.0;45.0;17.0;sehr gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;03.11.2020;23:00;18.0;45.0;15.0;sehr gut;10.8;7.3;13.8;0.1;0;219.5;23.5;49.0;1022.6;345
DENW053;04.11.2020;24:00;18.0;51.0;10.0;sehr gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;01:00;17.0;;;sehr gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;02:00;16.0;43.0;9.0;sehr gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;03:00;16.0;38.0;11.0;sehr gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;04:00;15.0;29.0;13.0;sehr gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;05:00;15.0;29.0;15.0;sehr gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;06:00;15.0;14.0;28.0;gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;07:00;14.0;3.0;42.0;mäßig;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;08:00;15.0;0.9;48.0;mäßig;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;09:00;14.0;2.0;50.0;mäßig;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;10:00;15.0;7.0;48.0;mäßig;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;11:00;15.0;24.0;35.0;gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;12:00;14.0;35.0;25.0;gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;13:00;14.0;37.0;23.0;gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;14:00;14.0;43.0;18.0;sehr gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;15:00;14.0;52.0;13.0;sehr gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;16:00;14.0;51.0;16.0;sehr gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;17:00;14.0;37.0;28.0;gut;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;18:00;15.0;13.0;42.0;mäßig;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;19:00;15.0;4.0;47.0;mäßig;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;20:00;15.0;1.0;46.0;mäßig;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;21:00;16.0;1.0;44.0;mäßig;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;22:00;18.0;0.9;44.0;mäßig;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;04.11.2020;23:00;20.0;2.0;41.0;mäßig;6.7;2.6;11.7;0.0;0;251.0;10.0;32.0;1032.3;428
DENW053;05.11.2020;24:00;21.0;2.0;36.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;01:00;22.0;2.0;29.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;02:00;23.0;;;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;03:00;24.0;0.9;23.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;04:00;25.0;1.0;24.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;05:00;26.0;0.6;21.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;06:00;27.0;0.4;22.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;07:00;27.0;0.3;26.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;08:00;27.0;0.0;30.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;09:00;27.0;0.6;32.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;10:00;27.0;2.0;37.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;11:00;27.0;2.0;38.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;12:00;28.0;4.0;47.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;13:00;29.0;10.0;65.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;14:00;31.0;22.0;77.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;15:00;32.0;38.0;51.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;16:00;32.0;45.0;38.0;gut;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;17:00;33.0;27.0;54.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;18:00;33.0;11.0;52.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;19:00;35.0;0.3;57.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;20:00;35.0;0.3;46.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;21:00;35.0;0.4;47.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;22:00;35.0;0.7;46.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;05.11.2020;23:00;35.0;0.2;45.0;mäßig;4.8;0.9;10.3;0.0;0;102.2;6.5;15.0;1038.7;492
DENW053;06.11.2020;24:00;35.0;0.5;37.0;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;01:00;35.0;1.0;34.0;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;02:00;35.0;1.0;33.0;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;03:00;35.0;;;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;04:00;36.0;0.8;25.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;05:00;37.0;0.5;23.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;06:00;37.0;0.6;21.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;07:00;38.0;0.7;25.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;08:00;38.0;0.4;28.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;09:00;39.0;0.8;35.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;10:00;38.0;3.0;33.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;11:00;38.0;19.0;26.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;12:00;38.0;30.0;22.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;13:00;36.0;34.0;20.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;14:00;35.0;38.0;21.0;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;15:00;33.0;45.0;18.0;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;16:00;33.0;42.0;22.0;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;17:00;32.0;23.0;37.0;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;18:00;32.0;3.0;58.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;19:00;30.0;8.0;53.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;20:00;29.0;26.0;35.0;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;21:00;29.0;9.0;52.0;mäßig;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;22:00;28.0;29.0;23.0;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;06.11.2020;23:00;26.0;31.0;22.0;gut;6.9;1.5;13.5;0.0;0;85.8;15.7;35.0;1032.3;501
DENW053;07.11.2020;24:00;25.0;33.0;20.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;01:00;23.0;34.0;18.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;02:00;22.0;32.0;17.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;03:00;21.0;30.0;16.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;04:00;20.0;;;sehr gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;05:00;18.0;28.0;17.0;sehr gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;06:00;17.0;25.0;21.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;07:00;16.0;24.0;19.0;sehr gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;08:00;15.0;20.0;22.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;09:00;15.0;16.0;24.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;10:00;15.0;18.0;20.0;sehr gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;11:00;14.0;21.0;18.0;sehr gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;12:00;14.0;24.0;17.0;sehr gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;13:00;14.0;26.0;18.0;sehr gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;14:00;15.0;29.0;18.0;sehr gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;15:00;15.0;31.0;19.0;sehr gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;16:00;15.0;29.0;22.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;17:00;15.0;22.0;30.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;18:00;14.0;13.0;40.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;19:00;14.0;8.0;43.0;mäßig;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;20:00;14.0;13.0;36.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;21:00;14.0;15.0;33.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;22:00;14.0;15.0;33.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;07.11.2020;23:00;14.0;12.0;36.0;gut;10.2;6.5;15.6;0.0;0;111.2;9.7;22.0;1023.8;453
DENW053;08.11.2020;24:00;14.0;13.0;32.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;01:00;15.0;7.0;37.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;02:00;15.0;6.0;35.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;03:00;15.0;6.0;32.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;04:00;16.0;6.0;30.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;05:00;16.0;;;sehr gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;06:00;16.0;3.0;27.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;07:00;16.0;1.0;29.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;08:00;17.0;1.0;28.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;09:00;17.0;5.0;23.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;10:00;17.0;9.0;22.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;11:00;17.0;12.0;21.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;12:00;17.0;15.0;21.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;13:00;17.0;16.0;22.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;14:00;17.0;16.0;22.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;15:00;18.0;14.0;25.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;16:00;19.0;9.0;30.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;17:00;19.0;2.0;38.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;18:00;20.0;;40.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;19:00;20.0;;39.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;20:00;21.0;;39.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;21:00;21.0;;38.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;22:00;21.0;;37.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;08.11.2020;23:00;22.0;;36.0;gut;11.5;7.7;15.4;1.7;0;158.7;12.2;41.0;1022.0;239
DENW053;09.11.2020;24:00;22.0;;34.0;gut;12.8;9.6;17.1;0.0;0;120.0;8.8;31.0;1022.8;215
DENW053;09.11.2020;01:00;22.0;;34.0;gut;12.8;9.6;17.1;0.0;0;120.0;8.8;31.0;1022.8;215
DENW053;09.11.2020;02:00;22.0;;33.0;gut;12.8;9.6;17.1;0.0;0;120.0;8.8;31.0;1022.8;215
DENW053;09.11.2020;03:00;22.0;1.0;29.0;gut;12.8;9.6;17.1;0.0;0;120.0;8.8;31.0;1022.8;215
DENW053;09.11.2020;04:00;23.0;;30.0;gut;12.8;9.6;17.1;0.0;0;120.0;8.8;31.0;1022.8;215
DENW053;09.11.2020;05:00;23.0;;28.0;gut;12.8;9.6;17.1;0.0;0;120.0;8.8;31.0;1022.8;215
DENW053;09.11.2020;06:00;23.0;;;gut;12.8;9.6;17.1;0.0;0;120.0;8.8;31.0;1022.8;215
