Stationscode;Datum;Datum-Uhrzeit;Feinstaub;Ozon;NO2;LuftQualiIndex;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun
DENW053;01.11.2020;01.11.2020 18:00;11;33;13;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 19:00;11;33;12;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 20:00;10;34;10;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 21:00;10;34;10;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 22:00;10;29;13;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 23:00;10;-;-;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;02.11.2020;01.11.2020 24:00;10;26;15;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 01:00;10;26;13;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 02:00;10;25;11;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 03:00;10;27;9;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 04:00;9;32;5;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 05:00;9;33;5;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 06:00;8;27;11;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 07:00;8;21;18;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 08:00;8;28;15;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 09:00;8;42;8;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 10:00;8;48;4;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 11:00;7;46;6;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 12:00;8;40;8;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 13:00;8;41;7;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 14:00;8;37;8;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 15:00;7;39;7;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 16:00;7;39;7;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 17:00;8;36;10;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 18:00;8;39;12;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 19:00;8;47;10;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 20:00;8;64;9;gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 21:00;8;61;7;gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 22:00;8;59;9;sehr gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;02.11.2020;02.11.2020 23:00;8;62;8;gut;17,7;11,7;21,2;5,1;0;223,1;37,7;72;1010,3;80
DENW053;03.11.2020;02.11.2020 24:00;9;-;-;sehr gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 01:00;10;70;4;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 02:00;10;70;4;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 03:00;11;64;8;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 04:00;12;64;6;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 05:00;13;62;7;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 06:00;13;53;13;sehr gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 07:00;14;41;24;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 08:00;15;15;53;m‰ﬂig;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 09:00;15;13;51;m‰ﬂig;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 10:00;16;39;25;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 11:00;16;57;10;sehr gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 12:00;17;57;10;sehr gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 13:00;17;62;8;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 14:00;18;66;8;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 15:00;18;66;9;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 16:00;18;63;14;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 17:00;18;67;10;gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 18:00;18;58;13;sehr gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 19:00;18;49;17;sehr gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 20:00;19;44;18;sehr gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 21:00;19;46;17;sehr gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 22:00;18;45;17;sehr gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;03.11.2020;03.11.2020 23:00;18;45;15;sehr gut;10,8;7,3;13,8;0,1;0;219,5;23,5;49;1022,6;345
DENW053;04.11.2020;03.11.2020 24:00;18;51;10;sehr gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 01:00;17;-;-;sehr gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 02:00;16;43;9;sehr gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 03:00;16;38;11;sehr gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 04:00;15;29;13;sehr gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 05:00;15;29;15;sehr gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 06:00;15;14;28;gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 07:00;14;3;42;m‰ﬂig;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 08:00;15;0,9;48;m‰ﬂig;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 09:00;14;2;50;m‰ﬂig;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 10:00;15;7;48;m‰ﬂig;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 11:00;15;24;35;gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 12:00;14;35;25;gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 13:00;14;37;23;gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 14:00;14;43;18;sehr gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 15:00;14;52;13;sehr gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 16:00;14;51;16;sehr gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 17:00;14;37;28;gut;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 18:00;15;13;42;m‰ﬂig;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 19:00;15;4;47;m‰ﬂig;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 20:00;15;1;46;m‰ﬂig;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 21:00;16;1;44;m‰ﬂig;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 22:00;18;0,9;44;m‰ﬂig;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;04.11.2020;04.11.2020 23:00;20;2;41;m‰ﬂig;6,7;2,6;11,7;0;0;251;10;32;1032,3;428
DENW053;05.11.2020;04.11.2020 24:00;21;2;36;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 01:00;22;2;29;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 02:00;23;-;-;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 03:00;24;0,9;23;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 04:00;25;1;24;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 05:00;26;0,6;21;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 06:00;27;0,4;22;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 07:00;27;0,3;26;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 08:00;27;0;30;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 09:00;27;0,6;32;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 10:00;27;2;37;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 11:00;27;2;38;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 12:00;28;4;47;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 13:00;29;10;65;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 14:00;31;22;77;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 15:00;32;38;51;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 16:00;32;45;38;gut;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 17:00;33;27;54;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 18:00;33;11;52;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 19:00;35;0,3;57;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 20:00;35;0,3;46;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 21:00;35;0,4;47;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 22:00;35;0,7;46;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;05.11.2020;05.11.2020 23:00;35;0,2;45;m‰ﬂig;4,8;0,9;10,3;0;0;102,2;6,5;15;1038,7;492
DENW053;06.11.2020;05.11.2020 24:00;35;0,5;37;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 01:00;35;1;34;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 02:00;35;1;33;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 03:00;35;-;-;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 04:00;36;0,8;25;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 05:00;37;0,5;23;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 06:00;37;0,6;21;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 07:00;38;0,7;25;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 08:00;38;0,4;28;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 09:00;39;0,8;35;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 10:00;38;3;33;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 11:00;38;19;26;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 12:00;38;30;22;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 13:00;36;34;20;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 14:00;35;38;21;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 15:00;33;45;18;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 16:00;33;42;22;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 17:00;32;23;37;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 18:00;32;3;58;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 19:00;30;8;53;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 20:00;29;26;35;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 21:00;29;9;52;m‰ﬂig;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 22:00;28;29;23;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;06.11.2020;06.11.2020 23:00;26;31;22;gut;6,9;1,5;13,5;0;0;85,8;15,7;35;1032,3;501
DENW053;07.11.2020;06.11.2020 24:00;25;33;20;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 01:00;23;34;18;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 02:00;22;32;17;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 03:00;21;30;16;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 04:00;20;-;-;sehr gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 05:00;18;28;17;sehr gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 06:00;17;25;21;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 07:00;16;24;19;sehr gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 08:00;15;20;22;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 09:00;15;16;24;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 10:00;15;18;20;sehr gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 11:00;14;21;18;sehr gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 12:00;14;24;17;sehr gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 13:00;14;26;18;sehr gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 14:00;15;29;18;sehr gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 15:00;15;31;19;sehr gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 16:00;15;29;22;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 17:00;15;22;30;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 18:00;14;13;40;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 19:00;14;8;43;m‰ﬂig;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 20:00;14;13;36;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 21:00;14;15;33;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 22:00;14;15;33;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;07.11.2020;07.11.2020 23:00;14;12;36;gut;10,2;6,5;15,6;0;0;111,2;9,7;22;1023,8;453
DENW053;08.11.2020;07.11.2020 24:00;14;13;32;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 01:00;15;7;37;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 02:00;15;6;35;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 03:00;15;6;32;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 04:00;16;6;30;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 05:00;16;-;-;sehr gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 06:00;16;3;27;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 07:00;16;1;29;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 08:00;17;1;28;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 09:00;17;5;23;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 10:00;17;9;22;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 11:00;17;12;21;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 12:00;17;15;21;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 13:00;17;16;22;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 14:00;17;16;22;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 15:00;18;14;25;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 16:00;19;9;30;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 17:00;19;2;38;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 18:00;20;-;40;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 19:00;20;-;39;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 20:00;21;-;39;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 21:00;21;-;38;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 22:00;21;-;37;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;08.11.2020;08.11.2020 23:00;22;-;36;gut;11,5;7,7;15,4;1,7;0;158,7;12,2;41;1022;239
DENW053;09.11.2020;08.11.2020 24:00;22;-;34;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 01:00;22;-;34;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 02:00;22;-;33;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 03:00;22;1;29;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 04:00;23;-;30;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 05:00;23;-;28;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 06:00;23;-;-;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 07:00;23;0,3;32;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 08:00;23;0,4;35;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 09:00;23;0,8;35;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 10:00;24;2;32;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 11:00;23;6;33;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 12:00;24;5;39;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
DENW053;09.11.2020;09.11.2020 13:00;24;9;32;gut;12,8;9,6;17,1;0;0;120;8,8;31;1022,8;215
